query_pattern,output_pattern,similarity
CRRABABCEDC,GRREF#GF#,0.62500000
CRRABABCEDC,GRREF#GF#GF#GF#GR,0.26785714
DREFEFEFGR,BRRBCBCBC,0.54166667
DREFEFEFGR,GRREF#GF#GF#GF#GR,0.53472222
DREFEFEFGR,CRBCBCBC,0.44166667
DREFEFEFGR,BRBCBC,0.36805556
DREFEFEFGR,GRREF#GF#,0.27083333
BRCBA,ARRCBAGF#EE,0.21875000
CRCRCRDECRR,CRCCEE,0.31944444
RRABCBC,CRBCBCBC,0.20138889
RREFEFEFG,CRBCBCBC,0.48333333
RREFEFEFG,BRRBCBCBC,0.45000000
RREFEFEFG,GRREF#GF#GF#GF#GR,0.25833333
RREFEFEFG,BRBCBC,0.21527778
DREFEFE,GRREF#GF#GF#GF#GR,0.60416667
DREFEFE,BRRBCBCBC,0.47916667
DREFEFE,CRBCBCBC,0.35416667
